2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyinosine [[M+H]]	3-Methylhistidine [[M+Na]]	5'-Deoxyadenosine [[M+H]]	5-Hydroxyindoleacetate [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Asparagine [[M+NH4]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	Cytosine [[M+H]]	D-(+)-Melibiose [[M+K]]/Trehalose [[M+K]]	D-(+)-Turanose [[M+Na]]	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	D-Galactose [[M+Na]]/Galactose [[M+Na]]	D-Glucose [[M+Na]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Indole-3-Ethanol [[M+H]]	Inositol [[M+Na]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Lysine [[M+H]]	L-Phenylalanine [[M+H]]	L-Threonine [[M+Na]]	L-Tryptophan [[M+NH4]]	L-Tyrosine [[M+Na]]	L-Valine [[M+H]]	Maltose [[M+K]]	Methionine [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Palatinose [[M+K]]	Pidolic Acid [[M+H]]	Sucrose [[M+K]]	Thymine [[M+H]]	d-Desthiobiotin [[M+K]]	gamma-Glutamylcysteine [[M+H]]	Experimental group	Well	Unnamed: 0	Summary_x	Treatment	Supplement	mu	AUC	MaxOD	Summary_y
5642.306071550217	7965.8952362722275	999.0263816443208	135.4777239498152	202.84101645103885	41.91037503483492	625.7316458689306	956.1413467249548	2412.283214214335	3715.403479832342	119.88316579731848	52265.16164809273	5052.636841408935	438.5969480389701	4146.203148795064	4085.774235954139	3476.611808122236	2550.684917817744	1755.3624520404114	19790.46895540286	52.81971590340708	2610.1391707741373	4794.351972008209	89.6687093768561	216.3744943658919	438.5969480389701	196.88129667527105	3163.7459851877707	4932.753675611617	33873.32962699192	1115.010907903515	2674.466723153186	105.26326752935282	813.8410035834222	423.0023898864733	4552.636320644509	34390.874025677906	4658.874248058393	575.0493318733163	3.8986395381241774	24.366497113276115	17.543877921558803	646.1995034440826	10.233928787575968	1976.6102458289583	2175.440862273292	1603.3155100535685	349.902898546645	648.1488232131446	2758.287473222856	5457.120693489319	2730.022336571456	105.26326752935282	400.58521254225934	426.3225105340561	Baseline growth without any supplementation or hyperosmotic stress.	F11	85	Baseline growth without any supplementation or hyperosmotic stress.	None	None	0.194359577794712	46295.97142743725	2.019762313811088	Baseline growth without any supplementation or hyperosmotic stress.
2735.991499477555	3602.7368981670097	2045.611965046196	87.02263039050747	116.03017385400996	4.641206954160399	104.42715646860896	1106.927858567255	786.6845787301876	6808.650601753305	3.480905215620299	27506.113013831604	2648.968869087048	2162.802440638746	283.1136242037843	46.412069541603984	1061.6760907641913	2.3206034770801995	219.29702858407884	1878.528514696421	145.03771731751246	1357363.9049085346	5336885.586631671	1509.5525618406696	1906.375756421384	1994.5586885504315	9.282413908320798	1446.8962679595045	10992.698670928905	27126.69434532899	194.004967294352	1038.4700559933892	1595.4148904926371	1883.1697216505816	1784.5440738746734	4882662.265045377	6050.973566486619	3397.363490445412	18.5648278166416	4.641206954160399	2.3206034770801995	277.31211551108385	660.2116892293167	12.183168254671047	1321.5836801971736	990694.6319090006	2005.001404197292	176.36586425809514	31.32814694058269	1449986.1514892366	11989.39786433485	1453181.622477176	1835.5973503704377	80.06081995926688	48.73267301868419	Growth under hyperosmotic stress without any supplementation.	F8	61	Growth under hyperosmotic stress without any supplementation.	Yes	None	0.2119034937795586	8073.403794869015	0.4862833735065227	Growth under hyperosmotic stress without any supplementation.
6030.153846153847	12119.179487179488	1862.871794871795	94.6153846153846	2.628205128205128	22.07692307692308	167.15384615384616	110.3846153846154	2244.48717948718	6866.974358974359	1627.3846153846157	58073.8717948718	5577.051282051282	137.71794871794873	3902.358974358975	12368.333333333334	1932.2564102564104	3164.3589743589746	2835.3076923076924	21101.333333333336	169.25641025641028	7332.692307692308	62466.12820512821	152.43589743589743	167.15384615384616	137.71794871794873	568.7435897435897	1891.2564102564104	514.0769230769231	32718.0	597.1282051282052	252.30769230769232	1410.820512820513	1248.923076923077	137.71794871794873	57452.5641025641	13831.71794871795	3436.641025641026	64.12820512820512	4.205128205128205	43.1025641025641	48.35897435897436	615.0	219.71794871794876	1571.6666666666667	5308.974358974359	1283.6153846153848	1996.3846153846157	31.53846153846154	7776.333333333334	1200.5641025641023	7743.74358974359	1404.5128205128206	276.4871794871795	4.730769230769231	Growth with valine supplementation without hyperosmotic stress.	G12	94	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh	0.2425760289092605	53751.53504410002	2.204801028464817	Growth with valine supplementation without hyperosmotic stress.
6858.326848249027	7096.429961089494	3661.284046692607	379.28988326848247	230.92412451361864	131.6147859922179	5.384241245136186	632.9474708171206	854.2996108949416	7977.052529182879	57.43190661478599	54421.51750972762	6434.76653696498	498.9396887159533	5136.566147859922	3345.408560311284	5000.165369649805	1381.955252918288	2748.3560311284045	17824.23151750973	13.16147859922179	1200.087548638132	7912.441634241245	1214.4455252918287	1235.9824902723735	508.5116731517509	185.45719844357976	3847.937743190661	5429.708171206225	47012.80155642023	47.85992217898833	564.7470817120623	1237.1789883268482	2620.3307392996107	393.64785992217895	7862.188715953307	23563.8326848249	3822.811284046693	406.8093385214008	284.76653696498056	2.3929961089494163	169.90272373540856	615.0	279.9805447470817	2099.8540856031127	1200.087548638132	3086.964980544747	100.50583657587548	38.28793774319066	1170.1750972762643	5939.416342412451	1006.2548638132296	1179.7470817120625	238.1031128404669	635.34046692607	Baseline growth without any supplementation or hyperosmotic stress.	H1	7	Baseline growth without any supplementation or hyperosmotic stress.	None	None	0.2404256890236377	47698.896228533486	2.00711330999444	Baseline growth without any supplementation or hyperosmotic stress.
2490.151140259353	7916.981219257713	1590.1591891489045	94.50782530928603	28.612460873453568	3.4681770755701296	71.96467431808018	388.4358324638545	580.0526158891041	5817.0	881.7840214637055	55581.00581308689	2054.894917275302	293.9280071545685	4630.883440155016	2785.8132359517067	2061.831271426442	2096.513042182143	2312.407065136384	17674.697421374272	119.65210910716948	8862.926516619465	63380.93605604411	49.42152332687434	49.42152332687434	293.9280071545685	215.89402295424057	4061.2353554926217	7821.606349679534	36362.10254881502	790.7443732299895	2058.363094350872	852.3045163213593	1473.975257117305	293.9280071545685	58277.51348934267	28548.29959755552	2010.6756595617824	448.2618870174392	30.346549411238637	37.28290356237889	246.2405723654792	680.6297510806379	247.1076166343717	1089.0076017290207	5850.8147264868085	1705.4760769116112	1425.4207780593233	176.8770308540766	9708.294678789684	8229.984200327917	9743.843493814278	846.2352064391116	380.6324340438217	795.9466388433448	Growth with physiological lysine supplementation without hyperosmotic stress.	A3	16	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow	0.2450640534943238	45500.16688661969	2.04353029034969	Growth with physiological lysine supplementation without hyperosmotic stress.
2883.42365317182	4326.8830092445005	711.2445011157156	263.8769525023908	10.4851769206248	3.4950589735416	7.8638826904686	214.072362129423	5988.783551163531	3733.5967484858143	2397.6104558495376	32006.0025502072	2741.0	203.5871852087982	375.718839655722	862.4058017213898	2339.068218042716	1.7475294867708	138.0548294548932	2081.307618744023	113.589416640102	94721.34077143768	288998.56263946445	67.2798852406758	135.433535224737	203.5871852087982	26.229082681502483	2706.049410264584	1885.584316225693	57089.16703857188	225.5589037041946	1414.6251195409627	1214.532993305706	2645.759642970991	203.5871852087982	263873.4574434173	7094.095951546063	1280.065349059611	76.0175326745298	858.9107427478482	11.3589416640102	104.851769206248	502.414727446605	32.3292955052598	1076.4781638508127	67735.99043672298	1759.7621931781955	9667.333120816063	2.1844118584635	101482.5323557539	1815.6831367548607	102047.85814472425	1186.5725215173732	147.6662416321326	309.3127191584316	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	C7	50	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh	0.2342205344996621	22546.742670693817	1.3986777437673363	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
2802.584358514254	3707.932274803894	1262.605304825503	158.65778434977764	41.05131483176064	13.313939945435886	4.992727479538457	442.6592244996542	267.38829390417067	7885.180932684403	875.3915514124094	33450.16461791221	2790.3799135642707	392.7612283903586	312.8775887177433	21.080404913606817	3211.988011836407	13.313939945435886	143.12485441343577	2600.656269341809	134.24889444981184	1275636.3235470986	5010490.494415659	251.8553639678288	251.8553639678288	455.1722216571245	8.875959963623924	1113.9329754348023	9264.28321203247	29300.653334918024	197.6075345897142	858.7491264806146	2232.3039308514167	2592.8898043736385	92.0880846225982	4605126.51237195	9553.8614058457	7765.35547317548	59.91272975446148	4.437979981811962	7.766464968170933	147.56283439524773	125.37293448618792	598.0178025491618	939.7422611486828	948785.7548566202	1881.703512288272	155.32929936341867	134.24889444981184	1352909.3214954128	9602.679185645631	1355709.6868639365	2412.042120114801	160.87677434068362	504.82022293111066	Growth under hyperosmotic stress without any supplementation.	G3	22	Growth under hyperosmotic stress without any supplementation.	Yes	None	0.229933798237216	6325.929725723621	0.4145915437359648	Growth under hyperosmotic stress without any supplementation.
5136.178477690289	6260.916010498688	625.4278215223097	533.236220472441	79.65354330708662	19.913385826771652	649.0288713910761	365.0787401574803	1144.650918635171	6252.8031496063	704.3438320209974	39373.18897637796	4567.5406824146985	489.7217847769029	4345.543307086615	2694.207349081365	2029.6902887139108	1284.0446194225722	2498.0236220472443	13640.669291338583	11.800524934383205	14174.643044619424	37670.96325459317	502.997375328084	579.7007874015749	399.005249343832	118.74278215223096	2425.7454068241477	3968.664041994751	4266.627296587927	579.7007874015749	305.33858267716533	864.3884514435696	1020.745406824147	277.31233595800524	35417.800524934384	23799.44619422572	2240.6246719160104	173.3202099737533	2.9501312335958008	31.713910761154857	16.225721784776905	652.7165354330709	826.7742782152231	722.7821522309712	2933.905511811024	907.1653543307089	145.29396325459317	109.89238845144357	14807.446194225722	4220.900262467192	14773.519685039371	843.0	112.10498687664042	104.72965879265092	Growth with physiological lysine supplementation without hyperosmotic stress.	H4	31	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow	0.2526622437159924	49463.30725214956	2.075163942946579	Growth with physiological lysine supplementation without hyperosmotic stress.
4816.39751552795	6163.483695652173	1759.3229813664595	111.21195652173913	189.81288819875772	73.58385093167702	563.585403726708	38.46428571428572	1806.9852484472049	3726.018633540372	812.7670807453416	41703.64751552795	4253.648291925466	265.9052795031056	4439.280279503106	204.027950310559	2193.3004658385094	1596.267857142857	2439.1374223602484	9537.47049689441	30.10248447204969	1672.3602484472049	12287.666925465835	59.368788819875775	141.31444099378882	265.9052795031056	63.54968944099379	2101.320652173913	1308.6218944099378	34195.58618012422	440.66692546583846	610.4114906832298	915.6172360248448	1990.1086956521735	275.1032608695652	11681.436335403729	5918.482919254658	3599.7554347826085	19.232142857142858	1614.6638198757762	6.68944099378882	121.24611801242236	288.48214285714283	822.8012422360248	1077.0	1337.8881987577638	816.9479813664595	11337.766304347826	45.15372670807453	1717.5139751552797	1804.476708074534	1674.8687888198756	880.4976708074533	773.4666149068322	17.559782608695652	Growth with physiological lysine supplementation without hyperosmotic stress.	F5	37	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow	0.2457402218159497	74150.61469727158	2.4278287288384863	Growth with physiological lysine supplementation without hyperosmotic stress.
2977.2511728622017	3665.452126925437	1006.4938953174818	298.74177778654087	4.692279232249333	3.128186154832888	298.74177778654087	585.7528574924584	742.1621652341028	3430.8381653129704	165.01181966743485	21803.45749918523	2676.163255459536	888.4048679725403	100.88400349336064	452.0228993733524	2339.101197276292	222.88326353184328	157.97340081906086	3362.800116445355	25.025489238663106	789656.6335763918	2544071.684839024	161.10158697389377	312.81861548328885	860.2511925790443	6.256372309665776	2176.435517224982	11477.315002081868	24367.006053070785	171.89042495828508	547.4325770957555	1479.6320512359562	1732.233083238712	800.8156556372194	2338549.854466503	13735.083359332504	3939.168415473315	173.6143315932253	6.256372309665776	1.564093077416444	105.57628272561	629.5474636601188	238.52419430600773	920.4687760595774	586165.7780648962	1905.065368293229	1144.9161326688372	108.70446888044287	837876.0590600633	11667.352310987966	838603.362341062	1373.273721971638	93.84558464498664	511.45843631517727	Growth with physiological lysine supplementation under hyperosmotic stress.	A6	40	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow	0.229133018954934	12044.364293713686	0.7529545293595898	Growth with physiological lysine supplementation under hyperosmotic stress.
