Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
1	A2	20241010_hplc_growth_experiment	1	0	0	0.1557333333333333	-0.03549999999999999	1.4743	3.7957944444444442		0.20396666666666663	0.07859639436564823	1.7415536883273326	0.9805402408350727	2.590620708475967	1.2783250868517535	1.3333333333333333	1.670682898574287	-0.2644993388120263	0.4148885351920806	0.6666666666666666	1.3333333333333333	0.0	0.0	0.2766032609465784	0.0	0.0	1.5	FALSE
1	A2	20241010_hplc_growth_experiment	1	0	0	0.1557333333333333	-0.03549999999999999	1.4743	3.7957944444444442		0.20396666666666663	0.07859639436564823	-0.15546465261471415	-0.18526086005814366	0.18707291662649128	0.17149054308075162	3.0	0.7123070994932349	0.3827026066940547	0.9731016033015524	2.5	3.0	0.0	0.0	2.67874772179644	1.5	1.5	3.1666666666666665	FALSE
1	A2	20241010_hplc_growth_experiment	1	0	0	0.1557333333333333	-0.03549999999999999	1.4743	3.7957944444444442		0.20396666666666663	0.07859639436564823	-0.21863522057220264	-1.1461986164590612	0.7908134451810376	0.5826699552753174	4.333333333333333	0.9283961658370675	-3.238420286467516	0.7466071124227281	5.833333333333333	5.0	1.6300646976051605	2.4105826622999236	7.8022263278197	3.1666666666666665	3.1666666666666665	6.0	FALSE
2	A3	20241010_hplc_growth_experiment	1	0	0	0.14433333333333334	0.13410000000000002	1.8314666666666668	5.35671111111111		0.14433333333333334	0.0006376388201304731	2.2508627486929385	0.9272182179553292	5.9698354183036875	1.941591611624733	1.1666666666666667	3.928365999242331	-0.1615077471623854	0.17644669073442584	0.8333333333333334	1.1666666666666667	0.0	0.0	0.5512226506821045	0.0	0.0	1.3333333333333333	FALSE
2	A3	20241010_hplc_growth_experiment	1	0	0	0.14433333333333334	0.13410000000000002	1.8314666666666668	5.35671111111111		0.14433333333333334	0.0006376388201304731	-0.5665268691373582	-0.7423780794358983	0.0	0.0	1.3333333333333333	0.8321956121666108	-2.6219986543875016	0.832913765016551	2.0	1.5	0.0	0.0	2.77562310157031	1.8333333333333333	1.3333333333333333	3.0	FALSE
2	A3	20241010_hplc_growth_experiment	1	0	0	0.14433333333333334	0.13410000000000002	1.8314666666666668	5.35671111111111		0.14433333333333334	0.0006376388201304731	2.2210352876861403	1.555377833172391	1.4719473755689871	0.9050062511685995	5.833333333333333	0.4610601054021351	0.2929183804869306	1.5033770487589349	3.5	5.833333333333333	0.0	0.0	3.013825321879984	3.0	3.0	6.0	FALSE
4	A5	20241010_hplc_growth_experiment	1	0	0	0.15723333333333336	0.14433333333333334	1.8160333333333332	5.2469		0.15723333333333336	0.0007330525705403864	1.6459587961305986	0.7482827816464248	4.637142511433194	1.7293772902120472	1.1666666666666667	3.709075180605095	0.18494340248587943	0.18687870879092452	0.8333333333333334	1.1666666666666667	0.0	0.0	0.5935210581363147	0.0	0.0	1.3333333333333333	FALSE
4	A5	20241010_hplc_growth_experiment	1	0	0	0.15723333333333336	0.14433333333333334	1.8160333333333332	5.2469		0.15723333333333336	0.0007330525705403864	-0.3741583810719933	-0.5545340916503705	0.4041425202781679	0.339426810621446	3.8333333333333335	0.9004467550474047	0.41302275053177695	0.7697814186952721	2.0	3.8333333333333335	0.0	0.0	2.6923406227244544	1.8333333333333333	1.3333333333333333	4.0	FALSE
4	A5	20241010_hplc_growth_experiment	1	0	0	0.15723333333333336	0.14433333333333334	1.8160333333333332	5.2469		0.15723333333333336	0.0007330525705403864	0.6229988117395484	0.5215810904281563	0.6341949585401869	0.4911503029925861	5.833333333333333	0.3607965323058355	0.26699907341342144	1.9211581001903502	4.0	5.833333333333333	0.0	0.0	4.0	4.0	4.0	6.0	FALSE
5	A6	20241010_hplc_growth_experiment	1	0	0	0.15813333333333335	0.13853333333333331	1.8108333333333333	5.1640999999999995		0.15813333333333335	0.00028409946304391176	1.6251251752215872	0.7187108767070363	4.632765307501953	1.7286004951891116	1.1666666666666667	3.9069499834507875	-0.15661874903052694	0.17741388640653333	0.8333333333333334	1.1666666666666667	0.0	0.0	0.6071954419194276	0.0	0.0	1.3333333333333333	FALSE
