Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
0	A1	20241010_hplc_growth_experiment	1	0	0	0.006933333333333319	-0.002566666666666661	0.012500000000000013	0.012794444444444443		0.011033333333333312	-0.009741373636398553	-3.9765654273894944	0.0	-0.39705905986677303	0.0	0.0	0.28893839117251313	-0.6007577136134049	2.398944556128908	4.610491212486643	0.8333333333333334	0.0	2.0	0.0	0.0	5.698578765972964e-06	TRUE
1	A2	20241010_hplc_growth_experiment	1	0	0	0.1557333333333333	-0.03549999999999999	1.4743	3.7957944444444442		0.20396666666666663	2.394087034138014	4.992433309689517	1.1787485125882826	1.8995194181714017	1.2171131076991062	2.2343401494496757	1.670682898574287	-3.238420286467516	0.4148885351920806	0.33730543213955544	0.0	4.333333333333333	0.6666666666666666	5.0	1.0	0.07859639436564823	FALSE
2	A3	20241010_hplc_growth_experiment	1	0	0	0.14433333333333334	0.13410000000000002	1.8314666666666668	5.35671111111111		0.14433333333333334	4.476547247294005	9.67427255985093	1.6589265038831496	2.52333505563076	0.0	0.0	3.928365999242331	-0.059552441010758586	0.17644669073442584	0.5573025743592499	0.0	6.0	0.8333333333333334	6.0	1.0	0.0006376388201304731	FALSE
3	A4	20241010_hplc_growth_experiment	1	0	0	0.14986666666666668	0.1332333333333333	1.7590333333333334	5.049633333333333		0.14986666666666668	4.111644822437134	9.026845157666827	1.5843582253548318	2.448814550262684	0.0	0.0	3.7699405214907613	-0.13059669105176824	0.18386156932944173	0.5765581818665749	0.0	6.0	0.8333333333333334	6.0	0.0	0.0007098726056851346	FALSE
4	A5	20241010_hplc_growth_experiment	1	0	0	0.15723333333333336	0.14433333333333334	1.8160333333333332	5.2469		0.15723333333333336	4.2854102366267055	8.99751916706036	1.6329626760803242	2.430391849964995	0.0	0.0	3.709075180605095	-0.17154364171100242	0.18687870879092452	0.59959232991476	0.0	6.0	0.8333333333333334	6.0	1.0	0.0007330525705403864	FALSE
5	A6	20241010_hplc_growth_experiment	1	0	0	0.15813333333333335	0.13853333333333331	1.8108333333333333	5.1640999999999995		0.15813333333333335	4.200200232497264	8.850970170415849	1.6328836881416053	2.4255218965879273	0.0	0.0	3.9069499834507875	0.05881816793549332	0.17741388640653333	0.6118089874965813	0.0	6.0	0.8333333333333334	6.0	1.0	0.00028409946304391176	FALSE
6	A7	20241010_hplc_growth_experiment	1	0	0	0.01733333333333334	0.01733333333333334	0.05099999999999999	0.2602		0.01733333333333334	0.09843716954281026	5.32447058802377	0.02146023862681869	0.9978411049091197	0.01103846777548615	0.2675980661526437	0.8138597574325722	-0.2306820807850707	0.8516788970455663	-0.47698999265416625	0.0	1.5	0.0	4.666666666666667	0.0	3.120184520835277e-05	TRUE
7	A8	20241010_hplc_growth_experiment	1	0	0	0.14793333333333336	0.14403333333333332	1.7758333333333334	5.140599999999999		0.14793333333333336	4.2250789201417085	9.253153755466652	1.6048570007860665	2.4716055240055725	0.0	0.0	3.5687372187991624	-0.11641525551526614	0.19422757632829604	0.5363650939318001	0.0	6.0	0.8333333333333334	6.0	1.0	0.0005093041483612153	FALSE
8	A9	20241010_hplc_growth_experiment	1	0	0	0.14623333333333333	0.12883333333333333	1.8047333333333333	5.054183333333333		0.14623333333333333	4.144611915217623	9.16996420595508	1.6406114472001347	2.503260507358082	0.0	0.0	3.924351683792601	-0.040693729033465645	0.17662718237578262	0.4783865643158821	0.0	6.0	0.6666666666666666	6.0	1.0	0.00023295766862134853	FALSE
9	A10	20241010_hplc_growth_experiment	1	0	0	0.12733333333333333	0.12733333333333333	1.862933333333333	5.111633333333334		0.12733333333333333	4.390067336028227	10.033604792856188	1.6759324469089871	2.6438823567005	0.0	0.0	1.6380706868873751	-0.04661854817409641	0.42314851618341814	0.06837213131542211	0.0	6.0	0.16666666666666666	6.0	1.0	0.0008651647983985235	FALSE
10	A11	20241010_hplc_growth_experiment	1	0	0	0.14016666666666666	0.14016666666666666	1.9108666666666667	5.155083333333334		0.14016666666666666	4.281124440193169	9.534072417113496	1.733135514997254	2.5919017718166133	0.0	0.0	3.4578657582537264	-0.18231558436657277	0.20045520243388365	0.7157622026202735	0.0	6.0	1.0	6.0	1.0	0.0017029530469108997	FALSE
11	A12	20241010_hplc_growth_experiment	1	0	0	-0.001333333333333353	-0.02116666666666667	0.021766666666666684	-0.06091666666666663		0.022699999999999974	-0.045109256439499215	-4.415254635921516	0.014607934934151297	0.4341061950297829	0.006298546435205145	0.19815400624929722	2.2433344628880554	-0.7422919530723863	0.3089807570056191	5.093309640658868	0.0	5.5	4.833333333333333	6.0	1.0	3.329969144703728e-05	TRUE
