	plateID	well	CONCuM	Summary
0	plate_1	A01	glutamine: 0 mM & caffeine: 0 mM	Control group with no supplementation or treatment.
1	plate_1	A02	glutamine: 0 mM & caffeine: 5 mM	Caffeine treatment at 5 mM without glutamine supplementation.
2	plate_1	A03	glutamine: 0 mM & caffeine: 10 mM	Caffeine treatment at 10 mM without glutamine supplementation.
3	plate_1	A04	glutamine: 0.1 mM & caffeine: 10 mM	Glutamine supplementation at 0.1 mM with caffeine treatment at 10 mM.
4	plate_1	A05	glutamine: 1 mM & caffeine: 5 mM	Glutamine supplementation at 1 mM with caffeine treatment at 5 mM.
5	plate_1	A06	Media control	
6	plate_1	A07	glutamine: 10 mM & caffeine: 10 mM	Glutamine supplementation at 10 mM with caffeine treatment at 10 mM.
7	plate_1	A08	Media control	
8	plate_1	A09	glutamine: 1 mM & caffeine: 0 mM	Glutamine supplementation at 1 mM without caffeine treatment.
9	plate_1	A10	glutamine: 10 mM & caffeine: 5 mM	Glutamine supplementation at 10 mM with caffeine treatment at 5 mM.
10	plate_1	A11	glutamine: 10 mM & caffeine: 0 mM	Glutamine supplementation at 10 mM without caffeine treatment.
11	plate_1	A12	glutamine: 0.1 mM & caffeine: 0 mM	Glutamine supplementation at 0.1 mM without caffeine treatment.
12	plate_1	B01	glutamine: 0 mM & caffeine: 5 mM	Caffeine treatment at 5 mM without glutamine supplementation.
13	plate_1	B02	glutamine: 0.1 mM & caffeine: 10 mM	Glutamine supplementation at 0.1 mM with caffeine treatment at 10 mM.
14	plate_1	B03	Media control	
15	plate_1	B04	glutamine: 1 mM & caffeine: 5 mM	Glutamine supplementation at 1 mM with caffeine treatment at 5 mM.
16	plate_1	B05	glutamine: 10 mM & caffeine: 10 mM	Glutamine supplementation at 10 mM with caffeine treatment at 10 mM.
17	plate_1	B06	glutamine: 0 mM & caffeine: 10 mM	Caffeine treatment at 10 mM without glutamine supplementation.
18	plate_1	B07	glutamine: 1 mM & caffeine: 0 mM	Glutamine supplementation at 1 mM without caffeine treatment.
19	plate_1	B08	glutamine: 10 mM & caffeine: 0 mM	Glutamine supplementation at 10 mM without caffeine treatment.
20	plate_1	B09	glutamine: 10 mM & caffeine: 5 mM	Glutamine supplementation at 10 mM with caffeine treatment at 5 mM.
21	plate_1	B10	glutamine: 0.1 mM & caffeine: 5 mM	Glutamine supplementation at 0.1 mM with caffeine treatment at 5 mM.
22	plate_1	B11	glutamine: 1 mM & caffeine: 10 mM	Glutamine supplementation at 1 mM with caffeine treatment at 10 mM.
23	plate_1	B12	glutamine: 0 mM & caffeine: 0 mM	Control group with no supplementation or treatment.
24	plate_1	C01	Media control	
25	plate_1	C02	glutamine: 1 mM & caffeine: 0 mM	Glutamine supplementation at 1 mM without caffeine treatment.
26	plate_1	C03	glutamine: 0.1 mM & caffeine: 10 mM	Glutamine supplementation at 0.1 mM with caffeine treatment at 10 mM.
27	plate_1	C04	glutamine: 0 mM & caffeine: 10 mM	Caffeine treatment at 10 mM without glutamine supplementation.
28	plate_1	C05	glutamine: 10 mM & caffeine: 5 mM	Glutamine supplementation at 10 mM with caffeine treatment at 5 mM.
29	plate_1	C06	glutamine: 10 mM & caffeine: 0 mM	Glutamine supplementation at 10 mM without caffeine treatment.
30	plate_1	C07	glutamine: 1 mM & caffeine: 5 mM	Glutamine supplementation at 1 mM with caffeine treatment at 5 mM.
31	plate_1	C08	glutamine: 10 mM & caffeine: 10 mM	Glutamine supplementation at 10 mM with caffeine treatment at 10 mM.
