2'-Deoxyguanosine-5'-Diphosphate [[M+H]],2'-Deoxyguanosine-5'-Monophosphate [[M+H]],2'-Deoxyuridine [[M+Na]],5'-Deoxy-5'-Methylthioadenosine [[M+H]],ATP [[M+H]],Acetyl coenzyme A (Acetyl-CoA) [[M+H]],Ademetionine [[M+H]],Adenine [[M+H]],Adenosine 5'-diphosphate (ADP) [[M+H]],Adenosine phosphate [[M+H]],Adenosine-3'-5'-Diphosphate [[M+H]],Aminoadipate [[M+Na]],Argininosuccinic acid [[M+H]],Biotin [[M+H]],Choline [[M+H]],Cytidine [[M+H]],D-(+)-Melibiose [[M+Na]],D-(+)-Turanose [[M+Na]],Glucosamine [[M+H]],Glutamic Acid [[M-H2O+H]],Glutathione [[M+H]],Guanosine-5'-Diphosphate [[M+H]],Histidine [[M+H]],Imidazoleacetic acid [[M+H]],Isomaltose [[M+Na]],L-Arginine [[M+H]],L-Citrulline [[M+H]],L-Glutamine [[M+H]],L-Valine [[M+H]],Linoleic acid [[M+Na]],Maltose [[M+Na]],N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],N2-Acetyl-L-ornithine [[M+H]],Nicotinamide [[M+H]],O-acetyl-L-serine [[M+H]],Palatinose [[M+Na]],Pidolic Acid [[M+H]],Proline [[M+NH4]],Sucrose [[M+Na]],Thymine [[M+H]],Trehalose [[M+Na]],d-Desthiobiotin [[M+H]],gamma-Glutamylcysteine [[M+H]],Experimental group,Well,Unnamed: 0,Summary_x,Treatment,Supplement,mu,AUC,MaxOD,Summary_y
1963.4351380015005,1563.395354251274,259.8389249592592,140.97502930833696,13.085413487156938,196.9043172353139,758.5737209946251,5560.054502185779,1963.4351380015005,7362.102873845677,1813.2644403631757,99.69838847357668,462.9743914741716,41.74870017331023,560.4626636148841,922.210093380584,4113.804754390957,4196.679039809617,791.9790734369747,2314.2488424428984,6690.384981504954,350.98287583954647,451.1711122921933,104.6833078972555,4113.804754390957,333.9896013864818,23.0552523345146,176.34152461263872,1054.933573036033,295.35647585297085,3997.282262862464,1150.2701570138909,23.0552523345146,1501.7069763832485,466.7130810419308,4221.603636928012,2519.2536537416904,268.5625339506971,4006.6289867818623,122.75364080809126,4150.568535140588,136.46216922320806,181.32644403631755,Formic acid treatment without glutamate supplementation.,E4,28,Formic acid treatment without glutamate supplementation.,Yes,None,0.0936489113825205,11022.772,0.3591933333333333,Formic acid treatment without glutamate supplementation.
11690.37913043478,4327.304347826087,328.0278260869565,35.10260869565217,2492.2852173913043,296.5565217391304,2829.9965217391305,6264.0,11690.37913043478,25480.86260869565,10068.39652173913,2883.255652173913,4107.0052173913045,835.1999999999999,1533.6208695652174,16325.133913043475,1154.7547826086957,1154.7547826086957,2060.16,10120.445217391303,21436.8,289.29391304347826,810.991304347826,98.04521739130436,1154.7547826086957,8387.102608695652,3688.194782608696,399.6673663635767,1761.182608695652,252.3170016546723,1154.7547826086957,5785.878260869565,54.4695652173913,2060.16,390.9704347826087,1154.7547826086957,12933.495652173911,216.66782608695647,997.3982608695652,83.52,1130.5460869565218,1463.415652173913,537.4330434782609,High glutamate supplementation with formic acid treatment.,E9,68,High glutamate supplementation with formic acid treatment.,Yes,PosHigh,0.1786767316105115,45178.656,1.9166,High glutamate supplementation with formic acid treatment.
7768.298408019463,6396.262144223956,940.9858564839824,147.43989966864794,2605.0845966931806,261.071924254039,2982.6058684562154,6097.625914321854,7768.298408019463,29741.53899685401,6030.01016415534,2912.172795366097,5166.031134249887,1011.4189295741008,1649.073017949973,7047.06373957665,605.7244285750186,605.7244285750186,1031.140190039334,2754.402711644232,20561.761804108577,367.1910877098175,1642.499264461562,126.72261138411956,605.7244285750186,34791.1207835949,1950.52657077568,549.3779701029238,1433.0782604736098,23.47769103003948,605.7244285750186,215.05564983516163,673.3401787415323,1847.2247302435064,220.8954400939776,605.7244285750186,4683.329806672276,12.208399335620529,586.9422757509869,118.41875421524564,596.3333521630028,1698.8457229336568,1131.6247076479028,Baseline condition with no supplementation or treatment.,D5,35,Baseline condition with no supplementation or treatment.,None,None,0.2190726835421874,51541.636,2.046913333333333,Baseline condition with no supplementation or treatment.
3481.1926638303958,4139.489042222301,305.43434271209463,72.09009331092916,977.0104751349612,1041.5121375710555,1096.679749220374,6271.838118050838,3481.1926638303958,20386.319545243285,2879.809516999749,531.1901612384254,2676.818991097922,990.2902291659216,1523.3774981230558,7085.697329376853,1496.8179900611344,1496.8179900611344,2489.005326945765,8684.959136248255,29532.275857137745,579.7695374255111,534.9843766758428,626.0455471738585,1496.8179900611344,11238.466125630115,927.6856744485358,551.4964732674978,2155.11436845304,227.65292624503948,1496.8179900611344,736.0777948589609,675.3703478602838,1963.5064888634652,345.2736048049765,1496.8179900611344,10509.976761645989,242.8297879947088,1496.8179900611344,324.40541989918125,1496.8179900611344,3932.704300883057,383.21575917914976,Formic acid treatment without glutamate supplementation.,B3,17,Formic acid treatment without glutamate supplementation.,Yes,None,0.210576928348276,5391.148,0.28746,Formic acid treatment without glutamate supplementation.
5459.937682367653,7374.1538140892035,365.574197582326,60.58086702792831,547.3167986661109,105.84243434764484,2010.3099208003332,3648.7786577740726,5459.937682367653,32979.66694456023,5030.997290537724,2153.754272613589,2073.6761150479365,357.9145477282201,918.4616506877866,2395.381408920384,3341.0,3341.0,1006.8957899124636,5622.182992913714,23935.01313047103,1117.6125468945395,669.8711963318049,83.55981659024593,3341.0,11263.863276365151,1264.5385577323884,559.8507711546478,1034.7490621092122,192.18757815756564,3341.0,2701.0710712797,16.015631513130472,575.1700708628596,107.23509795748228,3341.0,7837.910796165069,90.5231346394331,3296.4347644852023,100.96811171321384,3318.717382242601,1508.951021258858,612.0756565235515,High glutamate supplementation without formic acid treatment.,C7,50,High glutamate supplementation without formic acid treatment.,None,PosHigh,0.1564901393430869,56192.86799999999,2.4341733333333337,High glutamate supplementation without formic acid treatment.
7182.997849826285,5542.177954133698,383.740136895847,21.318896494213725,1348.97155403042,1423.9552589411028,1476.8849329957025,3321.337046926124,7182.997849826285,25589.292002313294,5863.431670270643,2603.845909741552,3926.352626744672,422.7022580749273,1532.0200101359103,6808.814459634741,3294.137075536955,3294.137075536955,510.1832471373905,793.2099764571244,20096.368050424848,917.4476836130596,897.5990558425847,33.81618064599418,3294.137075536955,14415.984836259691,1648.1712393112816,282.29159495786445,1294.5716112520815,61.016152035163415,3294.137075536955,1801.0791865801248,748.3667803830887,848.3450535973323,177.7982801505837,3294.137075536955,1752.560318696742,75.71883927255219,3259.585760529091,33.81618064599418,3294.137075536955,30.140508836646987,180.1079186580125,Low glutamate supplementation without formic acid treatment.,A3,16,Low glutamate supplementation without formic acid treatment.,None,PosLow,0.2653937652353852,44033.56800000001,1.88858,Low glutamate supplementation without formic acid treatment.
4897.949215306969,6710.654371445609,518.6258810524631,125.427546629257,457.3186682762934,300.59025480514515,1526.880988465958,3921.176190129885,4897.949215306969,31987.452503890738,4346.184300321441,1475.5154858697074,3695.002283536719,396.8399313484503,1039.7371896499062,6409.917638503047,284.1672159760301,284.1672159760301,2843.3291114569547,777.1103457303681,23155.07148488066,93.61777086090788,57.993309382863295,185.57859002516253,284.1672159760301,238400.55316277107,2043.849917821768,37.28141317469783,1500.369761319506,47.22312335461725,284.1672159760301,345.4744287521999,5902.06194347883,1275.8528064229924,133.4189686836852,284.1672159760301,1023.9961485317004,62.964164472823,257.65598882957835,185.57859002516253,284.1672159760301,1521.0816575276715,999.9703489302284,Negative control with arginine supplementation without formic acid treatment.,C2,10,Negative control with arginine supplementation without formic acid treatment.,None,NegHigh,0.2480598321743848,41442.06800000001,1.9237933333333328,Negative control with arginine supplementation without formic acid treatment.
3754.053691275168,5990.620805369128,288.4563758389262,153.5,829.3120805369127,128.7751677852349,1199.1543624161077,7146.506711409396,3754.053691275168,31320.18120805369,3554.1946308724832,2590.9563758389263,5093.315436241611,1213.5771812080536,1600.9328859060404,14552.624161073823,72.11409395973155,72.11409395973155,3144.1744966442952,153.5,19554.25167785235,356.44966442953023,35.0268456375839,252.3993288590604,72.11409395973155,284481.85906040267,2653.798657718121,162.7718120805369,1323.8087248322147,114.95214112033224,72.11409395973155,997.2348993288592,5733.0704697986575,3995.120805369128,311.0293143283593,72.11409395973155,667.5704697986578,18.543624161073826,72.11409395973155,252.3993288590604,72.11409395973155,1390.7718120805368,89.62751677852349,Negative control with arginine supplementation without formic acid treatment.,A5,32,Negative control with arginine supplementation without formic acid treatment.,None,NegHigh,0.2305631342868107,38540.94799999999,1.809413333333333,Negative control with arginine supplementation without formic acid treatment.
5922.066425426458,6554.428029849999,428.4249869969488,88.5306246192957,2001.424478000506,1324.7975612673176,2260.692735814158,4660.505024601494,5922.066425426458,34757.75558713991,5267.572164848093,396.8069067757717,2467.7911612628677,467.9475872734201,202.355713415533,5599.5620071704525,45.846216320706695,45.846216320706695,1958.740069701917,5153.747076051856,19971.560371706477,1106.632807741196,200.77480940447413,18.97084813270622,45.846216320706695,84717.48414462173,2437.753985052749,467.9475872734201,2464.6293532407494,214.4255568468117,45.846216320706695,1699.4718118882654,1346.9302174221416,2682.794106766871,110.6632807741196,45.846216320706695,6371.043164567172,105.92056874094304,45.846216320706695,18.97084813270622,45.846216320706695,2586.358962092281,490.080243428244,Low glutamate supplementation with formic acid treatment.,D2,11,Low glutamate supplementation with formic acid treatment.,Yes,PosLow,0.197900955298014,8007.4,0.4385866666666667,Low glutamate supplementation with formic acid treatment.
3598.274827070102,3201.124812912099,1478.54643825088,213.464349108142,145.1431778649731,31.89959953076332,154.7130577242021,5300.118462036326,3598.274827070102,18420.42374903928,3516.930848266656,559.8379717648962,4100.693519679625,25.519679624610657,84.5339387565228,1449.8367986731928,71.77409894421747,71.77409894421747,637.9919906152663,5646.229116945107,15559.029671129809,471.1106943571669,511.9885724687513,107.7781906124558,71.77409894421747,19520.95993285061,885.2138869786821,679.871671213917,3418.0420897212894,261.5767161522592,71.77409894421747,704.9811496298694,350.8955948383965,2312.7209659803407,738.4757291371708,71.77409894421747,8279.54105820962,111.64859835767162,71.77409894421747,121.2318808835394,71.77409894421747,3590.2999271874114,1323.8333805266775,Low glutamate supplementation with formic acid treatment.,F8,61,Low glutamate supplementation with formic acid treatment.,Yes,PosLow,0.107499707883058,18720.08,0.6602133333333334,Low glutamate supplementation with formic acid treatment.
