	Well	Summary	Treatment	Supplement
0	A1	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
1	B1	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
2	C1	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
3	D1	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
4	E1	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
5	F1	Growth under hyperosmotic stress without any supplementation.	Yes	None
6	G1	Media control	None	None
7	H1	Baseline growth without any supplementation or hyperosmotic stress.	None	None
8	A2	Media control	None	None
9	B2	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
10	C2	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
11	D2	Growth under hyperosmotic stress without any supplementation.	Yes	None
12	E2	Media control	None	None
13	F2	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
14	G2	Baseline growth without any supplementation or hyperosmotic stress.	None	None
15	H2	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
16	A3	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
17	B3	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
18	C3	Baseline growth without any supplementation or hyperosmotic stress.	None	None
19	D3	Media control	None	None
20	E3	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
21	F3	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
22	G3	Growth under hyperosmotic stress without any supplementation.	Yes	None
23	H3	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
24	A4	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
25	B4	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
26	C4	Media control	None	None
27	D4	Baseline growth without any supplementation or hyperosmotic stress.	None	None
28	E4	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
29	F4	Media control	None	None
30	G4	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
31	H4	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
32	A5	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
33	B5	Media control	None	None
34	C5	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
35	D5	Baseline growth without any supplementation or hyperosmotic stress.	None	None
36	E5	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
37	F5	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
38	G5	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
39	H5	Growth under hyperosmotic stress without any supplementation.	Yes	None
40	A6	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
41	B6	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
42	C6	Growth under hyperosmotic stress without any supplementation.	Yes	None
43	D6	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
44	E6	Baseline growth without any supplementation or hyperosmotic stress.	None	None
45	F6	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
46	G6	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
47	H6	Media control	None	None
48	A7	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
49	B7	Media control	None	None
50	C7	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
51	D7	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
52	E7	Growth under hyperosmotic stress without any supplementation.	Yes	None
53	F7	Baseline growth without any supplementation or hyperosmotic stress.	None	None
54	G7	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
55	H7	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
56	A8	Baseline growth without any supplementation or hyperosmotic stress.	None	None
57	B8	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
58	C8	Media control	None	None
59	D8	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
60	E8	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
61	F8	Growth under hyperosmotic stress without any supplementation.	Yes	None
62	G8	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
63	H8	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
64	A9	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
65	B9	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
66	C9	Growth under hyperosmotic stress without any supplementation.	Yes	None
67	D9	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
68	E9	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
69	F9	Media control	None	None
70	G9	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
71	H9	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
72	A10	Media control	None	None
73	B10	Growth under hyperosmotic stress without any supplementation.	Yes	None
74	C10	Growth with supraphysiological lysine supplementation without hyperosmotic stress.	None	PosHigh
75	D10	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
76	E10	Growth with supraphysiological lysine supplementation under hyperosmotic stress.	Yes	PosHigh
77	F10	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
78	G10	Media control	None	None
79	H10	Growth with physiological lysine supplementation without hyperosmotic stress.	None	PosLow
80	A11	Growth with valine supplementation under hyperosmotic stress.	Yes	NegHigh
81	B11	Growth with valine supplementation without hyperosmotic stress.	None	NegHigh
82	C11	Growth with physiological lysine supplementation under hyperosmotic stress.	Yes	PosLow
83	D11	Media control	None	None
