	plateID	well	CONCuM	Summary
0	plate_1	A01	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
1	plate_1	A02	Media control	
2	plate_1	A03	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
3	plate_1	A04	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
4	plate_1	A05	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
5	plate_1	A06	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
6	plate_1	A07	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
7	plate_1	A08	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
8	plate_1	A09	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
9	plate_1	A10	Media control	
10	plate_1	A11	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
11	plate_1	A12	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
12	plate_1	B01	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
13	plate_1	B02	Glutamine: 5 mM & Acetic Acid: 30 mM	High glutamine supplementation with acetic acid treatment.
14	plate_1	B03	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
15	plate_1	B04	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
16	plate_1	B05	Media control	
17	plate_1	B06	Threonine: 5 mM & Acetic Acid: 30 mM	Negative control with threonine supplementation with acetic acid.
18	plate_1	B07	Media control	
19	plate_1	B08	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
20	plate_1	B09	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
21	plate_1	B10	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
22	plate_1	B11	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
23	plate_1	B12	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
24	plate_1	C01	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Low glutamine supplementation without acetic acid treatment.
25	plate_1	C02	Threonine: 5 mM & Acetic Acid: 0 mM	Negative control with threonine supplementation without acetic acid.
26	plate_1	C03	None: 0 mM & Acetic Acid: 0 mM	Baseline growth with no supplementation or treatment.
27	plate_1	C04	Media control	
28	plate_1	C05	None: 0 mM & Acetic Acid: 30 mM	Acetic acid treatment without glutamine supplementation.
29	plate_1	C06	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
30	plate_1	C07	Glutamine: 5 mM & Acetic Acid: 0 mM	High glutamine supplementation without acetic acid treatment.
31	plate_1	C08	Media control	
32	plate_1	C09	Glutamine: 0.5 mM & Acetic Acid: 30 mM	Low glutamine supplementation with acetic acid treatment.
