	plateID	well	CONCuM	Summary
0	plate_1	A01	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
1	plate_1	A02	Media control	
2	plate_1	A03	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
3	plate_1	A04	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
4	plate_1	A05	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
5	plate_1	A06	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
6	plate_1	A07	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
7	plate_1	A08	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
8	plate_1	A09	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
9	plate_1	A10	Media control	
10	plate_1	A11	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
11	plate_1	A12	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
12	plate_1	B01	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
13	plate_1	B02	Glutamine: 5 mM & Acetic Acid: 50 mM	Potentially improved resistance to acetic acid compared to control, indicating a protective role of glutamine.
14	plate_1	B03	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
15	plate_1	B04	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
16	plate_1	B05	Media control	
17	plate_1	B06	Leucine: 5 mM & Acetic Acid: 50 mM	No significant change in resistance to acetic acid, confirming specificity of glutamine's effect.
18	plate_1	B07	Media control	
19	plate_1	B08	Glutamine: 5 mM & Acetic Acid: 0 mM	Enhanced growth due to ample nitrogen supply, without acetic acid stress.
20	plate_1	B09	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
21	plate_1	B10	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
22	plate_1	B11	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
23	plate_1	B12	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
24	plate_1	C01	Glutamine: 0.5 mM & Acetic Acid: 0 mM	Potentially reduced growth due to limited nitrogen source, but no acetic acid stress.
25	plate_1	C02	Leucine: 5 mM & Acetic Acid: 0 mM	No significant change in growth, confirming specificity of glutamine's effect.
26	plate_1	C03	None: 0 mM & Acetic Acid: 0 mM	Baseline growth and intracellular metabolite levels without any supplementation or treatment.
27	plate_1	C04	Media control	
28	plate_1	C05	None: 0 mM & Acetic Acid: 50 mM	Decreased growth and viability, serving as a baseline for acetic acid stress.
29	plate_1	C06	Glutamine: 0.5 mM & Acetic Acid: 50 mM	Further decreased growth and viability compared to control with acetic acid, supporting the hypothesis that low glutamine levels reduce resistance to acetic acid.
