2'-Deoxyguanosine-5'-Diphosphate [[M+H]],2'-Deoxyguanosine-5'-Monophosphate [[M+H]],2'-Deoxyuridine [[M+Na]],Acetyl coenzyme A (Acetyl-CoA) [[M+H]],Ademetionine [[M+H]],Adenine [[M+H]],Adenosine 5'-diphosphate (ADP) [[M+H]],Adenosine phosphate [[M+H]],Adenosine-3'-5'-Diphosphate [[M+H]],Aminoadipate [[M+Na]],Cytidine [[M+H]],D-(+)-Melibiose [[M+Na]],D-(+)-Turanose [[M+Na]],Glucosamine [[M+H]],Glutamic Acid [[M-H2O+H]],Glutathione [[M+H]],Histidine [[M+H]],Imidazoleacetic acid [[M+H]],Isomaltose [[M+Na]],L-Arginine [[M+H]],L-Citrulline [[M+H]],L-Valine [[M+H]],Maltose [[M+Na]],N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],Nicotinamide [[M+H]],O-acetyl-L-serine [[M+H]],Palatinose [[M+Na]],Pidolic Acid [[M+H]],Spermine [[M+H]],Sucrose [[M+Na]],Thymine [[M+H]],Trehalose [[M+Na]],gamma-Glutamylcysteine [[M+H]],Experimental group,Well,Unnamed: 0,Summary_x,Treatment,Supplement,mu,AUC,MaxOD,Summary_y
78.8815464223328,538.5264493589532,93.80508223196334,48.60808806565373,31.979005306351137,1837.3004515342277,78.8815464223328,9248.754721334168,74.61767904815265,688.6145809300945,1679.537358689562,2867.0244223987343,2890.049306219307,3324.9637783856824,6498.986651725388,14003.819617019872,371.12066859666623,73.76490557331663,2890.049306219307,1264.663063181833,433.2089252167034,1331.605780956461,2855.938367225865,622.5246366303022,317.23173263900327,417.4326159322368,2890.049306219307,7633.175373257308,500.1516429913318,2758.722191094558,92.09953528229128,2856.364753963284,160.32141326917372,"Growth with low glutamate supplementation, no spermine treatment.",B9,65,"Growth with low glutamate supplementation, no spermine treatment.",None,PosLow,0.3172653304550517,10790.687999999998,0.93272,"Growth with low glutamate supplementation, no spermine treatment."
15.771084337349398,1762.9819277108434,187.0,105.89156626506023,518.1410288461888,7614.05421686747,15.771084337349398,28585.090361445786,15.771084337349398,984.566265060241,3165.481927710844,447.22289156626505,447.22289156626505,8785.62048192771,17913.698795180724,42191.030120481926,627.4638554216867,99.13253012048192,447.22289156626505,9215.94578313253,915.8493975903616,2237.240963855422,447.22289156626505,2105.5660918234994,3057.3373493975905,439.3373493975904,447.22289156626505,16134.94578313253,3047.1987951807228,447.22289156626505,110.39759036144578,447.22289156626505,823.4759036144578,Baseline growth with no supplementation or treatment.,D4,27,Baseline growth with no supplementation or treatment.,None,None,0.2330021427228643,14356.727999999996,0.9030733333333334,Baseline growth with no supplementation or treatment.
344.8684177491394,1651.7775843603033,561.8138432312444,938.1019432915851,308.3960113979514,6428.317383336996,344.8684177491394,24613.58065245593,344.8684177491394,332.8990149639198,1265.7643445369715,2150.0039752950684,2168.706167146974,5612.153730919835,10075.24479445859,38131.524923013305,323.92196287500514,270.05965034151694,2150.0039752950684,3908.010009374196,343.3722424009869,1010.666447676979,2107.362977872724,165.32737597084557,1431.8398081818932,341.8760670528345,2168.706167146974,9656.315696975902,38718.77374716314,2168.706167146974,270.05965034151694,2168.706167146974,1316.634306374155,Baseline growth with no supplementation or treatment.,B12,89,Baseline growth with no supplementation or treatment.,None,None,0.2427859097075917,8444.903999999999,0.52666,Baseline growth with no supplementation or treatment.
324.80088495575217,1926.7433628318583,1315.1371681415928,378.7300884955752,145.85398230088495,5739.783185840708,324.80088495575217,33611.376106194686,324.80088495575217,573.6106194690265,1677.933628318584,1935.3230088495573,1935.3230088495573,5468.911504424778,18054.02654867257,67879.70796460177,277.0,121.34070796460176,1935.3230088495573,3487.013274336283,2778.579646017699,2521.1902654867254,1935.3230088495573,2253.9955752212386,1851.9778761061943,6063.358407079646,1935.3230088495573,20202.615044247785,96844.59292035396,1864.234513274336,247.58407079646017,1935.3230088495573,2260.1238938053098,Growth with low glutamate supplementation and spermine treatment.,D8,59,Growth with low glutamate supplementation and spermine treatment.,Yes,PosLow,0.2811105865975791,4194.647999999999,0.31464,Growth with low glutamate supplementation and spermine treatment.
91.61059714045416,606.0041000841043,606.0041000841043,59.08883515559293,181.8470353238015,4916.2826955424725,91.61059714045416,10126.635407905802,91.61059714045416,68.24989486963835,354.9910639192599,2178.5,2205.0670731707314,3502.2731286795624,5389.9094827586205,19818.57853238015,743.8780487804878,74.20458368376786,2178.5,4340.510092514718,114.5132464255677,701.2791211101766,2123.99169470143,174.97624053826743,346.74611017661897,274.3737384356602,2205.0670731707314,6129.665054667787,8645.29205214466,2205.0670731707314,74.20458368376786,2205.0670731707314,1046.6510723296888,Baseline growth with no supplementation or treatment.,C3,18,Baseline growth with no supplementation or treatment.,None,None,0.2648623298262489,10656.976,0.55154,Baseline growth with no supplementation or treatment.
215.86345381526104,2601.8741633199465,63.31994645247657,1105.2208835341366,450.84137970147066,8366.867469879518,215.86345381526104,40133.333333333336,215.86345381526104,496.09383235805535,1063.6111707705868,2150.0,2150.0,8470.481927710844,20648.05890227577,66506.09103078983,443.9422171581581,253.2797858099063,2150.0,4895.78313253012,1960.0401606425703,5200.8701472556895,2150.0,731.0575635876841,2443.5742971887557,5143.30655957162,2150.0,27713.98929049532,205775.43507362783,2150.0,253.2797858099063,2150.0,40.29451137884873,Growth with high glutamate supplementation and spermine treatment.,H8,63,Growth with high glutamate supplementation and spermine treatment.,Yes,PosHigh,0.2548551220073643,2945.688000000001,0.17388,Growth with high glutamate supplementation and spermine treatment.
73.10077777777776,573.6716666666666,245.9284444444444,124.90066666666664,11.134555555555554,3161.729666666666,73.10077777777776,11456.005333333333,73.10077777777776,51.872862383601216,50.34755555555555,2153.326222222222,2178.5,1235.4515555555554,401.3281111111111,15914.184555555554,234.30977777777773,146.68566666666666,2165.913111111111,1394.724111111111,152.01088888888887,1211.730111111111,2079.257222222222,240.4397425739194,602.7183333333332,481.2064444444444,2178.5,996.3006666666664,68400.54299999999,2173.1747777777778,106.02033333333333,2178.5,347.59177777777774,Growth with alanine supplementation and spermine treatment.,G8,62,Growth with alanine supplementation and spermine treatment.,Yes,NegHigh,0.3760341147630093,1938.424,0.2062133333333333,Growth with alanine supplementation and spermine treatment.
200.66702288791893,1393.9383033765064,369.1414752590594,620.2435252899312,174.2665893356697,4269.807936208713,200.66702288791893,24165.88960126168,200.66702288791893,94.43154018255008,1471.2004726167745,2168.706167146974,2168.706167146974,4417.893760585894,742.5752932536892,32252.66331507642,48.28885577516765,79.77825581032694,2168.706167146974,1333.84550507852,171.69370942281833,3114.0946546563678,2157.975310308048,305.82941990939514,1126.7399680872452,1147.128596081205,2168.706167146974,659.947695593958,65853.12224912197,2168.706167146974,84.95214225408886,2168.706167146974,617.0242682382534,"Growth with alanine supplementation, no spermine treatment.",G12,94,"Growth with alanine supplementation, no spermine treatment.",None,NegHigh,0.2624682180402112,3484.1960000000004,0.2323599999999999,"Growth with alanine supplementation, no spermine treatment."
780.4806417528875,731.4612077023744,420.3051037577118,87.1562908954945,23.62179846700318,2540.5651523649285,791.1301624098664,15557.805197233129,794.436421667383,13.84726117031221,392.61058141708736,2135.7363993269773,2170.76182464012,409.7160216862965,879.7083567021874,27284.80631893812,153.13441764815855,82.17699389774663,2135.7363993269773,913.919237240606,312.78519349411107,1672.2604225088803,2031.4746681622732,400.75602916432985,596.2467750981492,615.7958496915312,2186.2381753598806,860.1592821088054,104630.71994765378,2244.0708543653022,88.55318105117071,2218.005421574126,805.5847822022808,Growth with alanine supplementation and spermine treatment.,C12,90,Growth with alanine supplementation and spermine treatment.,Yes,NegHigh,0.2624280163393774,6686.911999999999,0.4127399999999999,Growth with alanine supplementation and spermine treatment.
400.35458225126814,749.9324857779852,160.1902757838957,222.6362067153393,50.77667872455108,3260.448658870693,400.35458225126814,12024.308111810038,400.35458225126814,700.1322816442909,1425.6529026508572,2178.5148122014125,2178.5148122014125,7231.770819885101,9944.417233285158,18989.501368391248,157.212409127937,80.72202637415107,2178.5148122014125,2383.5744762813306,563.4258389243456,2085.749726070021,2178.5148122014125,641.5438061928858,415.0017011141194,2543.716309181838,2178.5148122014125,12160.038079939126,17574.589686239815,2140.4323031579997,86.11235995045355,2158.9853203842777,151.3535615827965,"Growth with high glutamate supplementation, no spermine treatment.",C10,74,"Growth with high glutamate supplementation, no spermine treatment.",None,PosHigh,0.2610560326974819,13024.596,0.9175266666666668,"Growth with high glutamate supplementation, no spermine treatment."
